market,month,expected_mw,actual_mw,realization,bias_mw
US / Canada,2024-01-01,0.0,0.0,,0.0
US / Canada,2024-02-01,0.0,0.0,,0.0
US / Canada,2024-03-01,0.0,0.0,,0.0
US / Canada,2024-04-01,0.0,0.0,,0.0
US / Canada,2024-05-01,0.0,0.0,,0.0
US / Canada,2024-06-01,81.5,58.2,0.7141104294478527,-23.299999999999997
US / Canada,2024-07-01,177.4,115.3,0.6499436302142052,-62.10000000000001
US / Canada,2024-08-01,190.4,142.39999999999998,0.7478991596638654,-48.00000000000003
US / Canada,2024-09-01,319.49999999999994,277.1,0.8672926447574337,-42.39999999999992
US / Canada,2024-10-01,138.1,235.2,1.7031136857349747,97.1
US / Canada,2024-11-01,821.6999999999999,607.3999999999999,0.7391992211269318,-214.30000000000007
US / Canada,2024-12-01,413.0,477.9,1.157142857142857,64.89999999999998
US / Canada,2025-01-01,493.0,502.8,1.0198782961460446,9.800000000000011
US / Canada,2025-02-01,234.19999999999996,262.7,1.1216908625106747,28.50000000000003
US / Canada,2025-03-01,304.5,326.3,1.071592775041051,21.80000000000001
US / Canada,2025-04-01,297.3,327.50000000000006,1.101580894719139,30.200000000000045
US / Canada,2025-05-01,503.9,404.29999999999995,0.8023417344711252,-99.60000000000002
US / Canada,2025-06-01,442.9,533.3,1.2041092797471211,90.39999999999998
US / Canada,2025-07-01,304.30000000000007,291.00000000000006,0.9562931317778508,-13.300000000000011
US / Canada,2025-08-01,357.0,339.9,0.9521008403361344,-17.100000000000023
US / Canada,2025-09-01,655.9999999999999,589.6999999999999,0.8989329268292684,-66.29999999999995
US / Canada,2025-10-01,486.5,432.8,0.8896197327852005,-53.69999999999999
US / Canada,2025-11-01,408.59999999999997,442.0,1.081742535487029,33.400000000000034
US / Canada,2025-12-01,263.3,201.8,0.7664261298898595,-61.5
Europe,2024-01-01,0.0,0.0,,0.0
Europe,2024-02-01,0.0,0.0,,0.0
Europe,2024-03-01,0.0,0.0,,0.0
Europe,2024-04-01,0.0,0.0,,0.0
Europe,2024-05-01,0.0,0.0,,0.0
Europe,2024-06-01,0.0,0.0,,0.0
Europe,2024-07-01,0.0,0.0,,0.0
Europe,2024-08-01,0.0,0.0,,0.0
Europe,2024-09-01,26.5,0.0,0.0,-26.5
Europe,2024-10-01,34.8,20.2,0.5804597701149425,-14.599999999999998
Europe,2024-11-01,99.69999999999999,28.1,0.28184553660982953,-71.6
Europe,2024-12-01,65.6,96.6,1.4725609756097562,31.0
Europe,2025-01-01,120.99999999999999,43.699999999999996,0.36115702479338846,-77.29999999999998
Europe,2025-02-01,23.6,87.39999999999999,3.703389830508474,63.79999999999999
Europe,2025-03-01,15.799999999999999,51.49999999999999,3.2594936708860756,35.699999999999996
Europe,2025-04-01,100.8,82.7,0.820436507936508,-18.099999999999994
Europe,2025-05-01,30.400000000000002,35.6,1.1710526315789473,5.199999999999999
Europe,2025-06-01,14.4,18.1,1.2569444444444444,3.700000000000001
Europe,2025-07-01,29.200000000000003,52.800000000000004,1.8082191780821917,23.6
Europe,2025-08-01,57.6,34.2,0.59375,-23.4
Europe,2025-09-01,33.4,37.599999999999994,1.1257485029940117,4.199999999999996
Europe,2025-10-01,37.7,2.2,0.058355437665782495,-35.5
Europe,2025-11-01,24.0,24.6,1.0250000000000001,0.6000000000000014
Europe,2025-12-01,165.5,120.1,0.7256797583081571,-45.400000000000006
MENA,2024-01-01,0.0,0.0,,0.0
MENA,2024-02-01,0.0,0.0,,0.0
MENA,2024-03-01,0.0,0.0,,0.0
MENA,2024-04-01,0.0,0.0,,0.0
MENA,2024-05-01,0.0,0.0,,0.0
MENA,2024-06-01,0.0,0.0,,0.0
MENA,2024-07-01,3.6,0.0,0.0,-3.6
MENA,2024-08-01,22.299999999999997,17.2,0.7713004484304934,-5.099999999999998
MENA,2024-09-01,33.2,0.0,0.0,-33.2
MENA,2024-10-01,34.1,70.9,2.0791788856304985,36.800000000000004
MENA,2024-11-01,0.0,0.0,,0.0
MENA,2024-12-01,53.6,0.0,0.0,-53.6
MENA,2025-01-01,62.7,5.1,0.08133971291866028,-57.6
MENA,2025-02-01,0.0,26.5,,26.5
MENA,2025-03-01,0.0,16.5,,16.5
MENA,2025-04-01,31.299999999999997,22.7,0.7252396166134186,-8.599999999999998
MENA,2025-05-01,12.4,37.1,2.991935483870968,24.700000000000003
MENA,2025-06-01,30.200000000000003,2.6,0.08609271523178808,-27.6
MENA,2025-07-01,38.9,15.2,0.390745501285347,-23.7
MENA,2025-08-01,78.3,68.1,0.8697318007662835,-10.200000000000003
MENA,2025-09-01,0.0,38.8,,38.8
MENA,2025-10-01,6.8,22.1,3.2500000000000004,15.3
MENA,2025-11-01,164.5,22.3,0.13556231003039515,-142.2
MENA,2025-12-01,57.4,172.4,3.0034843205574915,115.0
India,2024-01-01,0.0,0.0,,0.0
India,2024-02-01,0.0,0.0,,0.0
India,2024-03-01,0.0,0.0,,0.0
India,2024-04-01,0.0,0.0,,0.0
India,2024-05-01,0.0,0.0,,0.0
India,2024-06-01,18.9,0.0,0.0,-18.9
India,2024-07-01,0.0,0.0,,0.0
India,2024-08-01,4.9,0.0,0.0,-4.9
India,2024-09-01,15.299999999999999,0.0,0.0,-15.299999999999999
India,2024-10-01,33.8,16.1,0.47633136094674566,-17.699999999999996
India,2024-11-01,0.0,0.0,,0.0
India,2024-12-01,0.0,12.5,,12.5
India,2025-01-01,19.3,0.0,0.0,-19.3
India,2025-02-01,10.7,10.7,1.0,0.0
India,2025-03-01,20.0,8.8,0.44000000000000006,-11.2
India,2025-04-01,0.0,0.0,,0.0
India,2025-05-01,24.1,4.1,0.1701244813278008,-20.0
India,2025-06-01,3.9,11.2,2.871794871794872,7.299999999999999
India,2025-07-01,49.3,0.0,0.0,-49.3
India,2025-08-01,15.8,43.5,2.7531645569620253,27.7
India,2025-09-01,75.30000000000001,52.3,0.6945551128818059,-23.000000000000014
India,2025-10-01,14.2,30.0,2.1126760563380285,15.8
India,2025-11-01,19.700000000000003,19.700000000000003,1.0,0.0
India,2025-12-01,27.4,23.0,0.8394160583941607,-4.399999999999999
Australia/SEA,2024-01-01,0.0,0.0,,0.0
Australia/SEA,2024-02-01,0.0,0.0,,0.0
Australia/SEA,2024-03-01,0.0,0.0,,0.0
Australia/SEA,2024-04-01,0.0,0.0,,0.0
Australia/SEA,2024-05-01,0.0,0.0,,0.0
Australia/SEA,2024-06-01,0.0,0.0,,0.0
Australia/SEA,2024-07-01,7.2,7.2,1.0,0.0
Australia/SEA,2024-08-01,0.0,0.0,,0.0
Australia/SEA,2024-09-01,27.3,0.0,0.0,-27.3
Australia/SEA,2024-10-01,0.0,0.0,,0.0
Australia/SEA,2024-11-01,16.5,0.0,0.0,-16.5
Australia/SEA,2024-12-01,9.7,16.5,1.7010309278350517,6.800000000000001
Australia/SEA,2025-01-01,58.1,8.2,0.14113597246127366,-49.900000000000006
Australia/SEA,2025-02-01,0.0,14.4,,14.4
Australia/SEA,2025-03-01,64.8,64.6,0.9969135802469136,-0.20000000000000284
Australia/SEA,2025-04-01,23.3,51.0,2.188841201716738,27.7
Australia/SEA,2025-05-01,0.0,14.6,,14.6
